"","type","variable","obs","pred"
"1288...18117","calibration","P retention",26.02124183,30.2677134364485
"4991...18118","calibration","P retention",17,18.2260728148575
"1768...18119","calibration","P retention",27.01010101,29.9773210594933
"5486...18120","calibration","P retention",15,16.6629758671292
"1272...18121","calibration","P retention",20.241013072,21.0005912110038
"4140...18122","calibration","P retention",48,46.695890494196
"4506...18123","calibration","P retention",54,40.690597730888
"1276...18124","calibration","P retention",22.140522876,27.0685012433341
"718...18125","calibration","P retention",38,52.7565001108294
"7586...18126","calibration","P retention",31,30.679813862897
"5937...18127","calibration","P retention",65,62.1390875891195
"7849...18128","calibration","P retention",20,17.7838535475218
"1889","calibration","P retention",17,16.6937813694505
"3820...18130","calibration","P retention",42,35.3433789026345
"7812...18131","calibration","P retention",32,37.8833264854982
"1432...18132","calibration","P retention",22.738142686,25.8628324823968
"6683...18133","calibration","P retention",13,12.7298208007328
"1806...18134","calibration","P retention",25.858585859,27.4831968139849
"8406...18135","calibration","P retention",26,27.5369300045702
"864...18136","calibration","P retention",22,27.3798209900958
"1102...18137","calibration","P retention",45,49.7624860729207
"1378...18138","calibration","P retention",23.096851335,25.6137395580735
"1100...18139","calibration","P retention",37,42.8082764649249
"1212...18140","calibration","P retention",19,17.5324560757231
"7360...18141","calibration","P retention",21,21.18231427306
"3720...18142","calibration","P retention",22,19.47480851798
"7292...18143","calibration","P retention",58,46.6017020518073
"1434...18144","calibration","P retention",23.196492627,27.8489647582434
"1334...18145","calibration","P retention",23,23.057746907916
"1146...18146","calibration","P retention",31,27.3685795632739
"7796...18147","calibration","P retention",20,18.7957232800306
"1154...18148","calibration","P retention",22,21.7336288414191
"3792...18149","calibration","P retention",39,34.2203824411161
"7094...18150","calibration","P retention",68,71.0588382202745
"427...18151","calibration","P retention",16,21.1404485865071
"4191...18152","calibration","P retention",19,17.0560081026983
"4575...18153","calibration","P retention",97,91.6902867313234
"6833...18154","calibration","P retention",34,32.442610879118
"4232...18155","calibration","P retention",35,25.2668978133882
"7571...18156","calibration","P retention",16,15.6844537904584
"6839...18157","calibration","P retention",52,20.5286991184643
"4764...18158","calibration","P retention",95,85.7032195533795
"1022...18159","calibration","P retention",37,43.3107497757571
"4311...18160","calibration","P retention",96,93.4183642477781
"1210...18161","calibration","P retention",18,15.9849122734548
"4988...18162","calibration","P retention",91,75.918928888929
"1198...18163","calibration","P retention",15,15.9647407686072
"1502...18164","calibration","P retention",30.289621883,34.4861798844495
"862...18165","calibration","P retention",24,29.3166621279173
"3932...18166","calibration","P retention",94,87.8935294531124
"6527...18167","calibration","P retention",35,40.3313197698435
"1174...18168","calibration","P retention",18,14.1025549790079
"6921...18169","calibration","P retention",54,50.0923855085418
"5005...18170","calibration","P retention",15,17.7543149028473
"1456...18171","calibration","P retention",33.25554259,20.1912611981617
"1558...18172","calibration","P retention",29.17841321,27.5919701798582
"3400...18173","calibration","P retention",18,17.1642959420136
"3722...18174","calibration","P retention",24,27.1851752552544
"1560...18175","calibration","P retention",23.862263391,22.2917909998679
"5445...18176","calibration","P retention",17,23.3957042696228
"6446...18177","calibration","P retention",34,30.9697687385819
"1576...18178","calibration","P retention",30.084575111,30.4185875743873
"6686...18179","calibration","P retention",10,18.3724097273251
"984...18180","calibration","P retention",31,39.3980082043404
"1170...18181","calibration","P retention",24,26.8313569806263
"6374...18182","calibration","P retention",19,26.4393999345358
"1688...18183","calibration","P retention",37,40.2051726023196
"1054...18184","calibration","P retention",27,33.2885485075432
"7573...18185","calibration","P retention",21,14.2245908638158
"4014...18186","calibration","P retention",14,15.4451004104996
"1124...18187","calibration","P retention",35,40.0478977171155
"1922...18188","calibration","P retention",13,16.444284245369
"3721...18189","calibration","P retention",23,20.825579879053
"1808...18190","calibration","P retention",11.919191919,9.3382701218211
"7261...18191","calibration","P retention",37,30.1277229748344
"3397...18192","calibration","P retention",16,24.4316850518509
"4237...18193","calibration","P retention",99,97.8382037740466
"1065","calibration","P retention",25,32.2609437499153
"6849...18195","calibration","P retention",49,42.0022424771844
"8393...18196","calibration","P retention",31,33.3416990144917
"1118...18197","calibration","P retention",28,30.4722692260131
"1728...18198","calibration","P retention",30,26.2647743007169
"1040...18199","calibration","P retention",27,32.1560778446989
"4642...18200","calibration","P retention",50,46.9116046016343
"2024...18201","calibration","P retention",57,69.7668357889022
"1730...18202","calibration","P retention",28,28.0302535914897
"4433...18203","calibration","P retention",20,41.8088424566264
"1726...18204","calibration","P retention",27,23.5809999285196
"1852...18205","calibration","P retention",21.696969697,16.4189433963863
"4204...18206","calibration","P retention",21,21.3524261616534
"896...18207","calibration","P retention",27,28.4155034535742
"6383...18208","calibration","P retention",17,18.1556823392087
"702...18209","calibration","P retention",29,36.5006116543179
"972...18210","calibration","P retention",34,35.3966294688985
"1492...18211","calibration","P retention",25.28157683,28.7287823145553
"7838...18212","calibration","P retention",29,25.843409010929
"8511...18213","calibration","P retention",21,19.1986770260847
"4432...18214","calibration","P retention",26,40.7760257503109
"7548...18215","calibration","P retention",26,32.2106128618902
"6056...18216","calibration","P retention",43,45.5605993501421
"3415...18217","calibration","P retention",25,24.5512708954125
"4510...18218","calibration","P retention",42,35.7507240959322
"6677...18219","calibration","P retention",17,17.934356202807
"1488...18220","calibration","P retention",26.045856798,28.9874763256776
"4781...18221","calibration","P retention",95,96.3880203082248
"1490...18222","calibration","P retention",27.393403057,31.2695884305922
"1188...18223","calibration","P retention",16,16.3151069958881
"6385...18224","calibration","P retention",20,23.7869429717735
"3399...18225","calibration","P retention",33,27.3581522267911
"4761...18226","calibration","P retention",45,48.7067957773484
"6840...18227","calibration","P retention",56,25.4718306617007
"1530...18228","calibration","P retention",30.346355215,31.353670061105
"1070...18229","calibration","P retention",44,47.2042505462411
"2028...18230","calibration","P retention",30,33.474546488277
"6667...18231","calibration","P retention",30,36.2405044072971
"4233...18232","calibration","P retention",29,26.6166591639037
"1376...18233","calibration","P retention",21.941012356,23.7442648971361
"6850...18234","calibration","P retention",50,42.7592195003601
"1144...18235","calibration","P retention",35,34.4289543317171
"6423...18236","calibration","P retention",45,39.5105637084975
"6557...18237","calibration","P retention",43,44.7726452551892
"1036...18238","calibration","P retention",21,23.3711363608269
"1322...18239","calibration","P retention",22,22.6755638642052
"1482...18240","calibration","P retention",32.864038616,34.2106982871578
"6936...18241","calibration","P retention",15,8.27316355477755
"1316...18242","calibration","P retention",22.794117647,27.2961320438059
"1586...18243","calibration","P retention",23.056786146,25.3330733533532
"4168...18244","calibration","P retention",65,60.4732126393706
"3731...18245","calibration","P retention",27,20.5932242803874
"1902...18246","calibration","P retention",18,22.5751745391508
"1712...18247","calibration","P retention",24,23.7350623012221
"5560...18248","calibration","P retention",16,23.680683286351
"7910...18249","calibration","P retention",24,24.1913335975521
"1038...18250","calibration","P retention",22,25.9400549201037
"8498...18251","calibration","P retention",27,27.9638612234169
"4605...18252","calibration","P retention",89,81.439841782978
"6970...18253","calibration","P retention",33,41.1125039315639
"4806...18254","calibration","P retention",74,82.7804356723606
"908...18255","calibration","P retention",26,26.8193580099441
