"","type","variable","obs","pred"
"8537...2761","calibration","carbon",0.289999992,0.386264399631373
"2786","calibration","carbon",2.27962435014753,2.48648614087967
"8032...2763","calibration","carbon",1.89999998,2.07022074597282
"5587...2764","calibration","carbon",1.39999998,1.50135389495603
"5680...2765","calibration","carbon",2.5999999,1.99778374269854
"4560...2766","calibration","carbon",3.79999995,3.74184414720456
"7140...2767","calibration","carbon",0.349999994,0.586269237518629
"2840","calibration","carbon",2.46598599261429,2.26597289039359
"7523...2769","calibration","carbon",0.25,0.219704243106546
"4976...2770","calibration","carbon",0.200000003,0.303773971059817
"6280...2771","calibration","carbon",0.400000006,0.523128130678991
"6087...2772","calibration","carbon",8.19999981,7.70296969551527
"5698...2773","calibration","carbon",0.899999976,0.952479269831708
"4504...2774","calibration","carbon",6.5999999,6.0142756382433
"6276...2775","calibration","carbon",0.5,0.390960609146168
"6525...2776","calibration","carbon",7.0999999,8.26904435144377
"6634...2777","calibration","carbon",0.699999988,0.84893777501532
"3163","calibration","carbon",2.01067553866972,1.67595398427241
"6237...2779","calibration","carbon",0.899999976,0.352224936486129
"4749...2780","calibration","carbon",3.20000005,2.49879574457358
"6411...2781","calibration","carbon",0.200000003,0.165479776852376
"6791...2782","calibration","carbon",4.0999999,3.90426481705969
"2929","calibration","carbon",4.22620440145103,4.51552167186486
"2721","calibration","carbon",0.289886761116856,0.302272357972283
"6165...2785","calibration","carbon",2.9000001,2.98735939642572
"3689...2786","calibration","carbon",0.200000003,0.302601231463524
"5656...2787","calibration","carbon",0.300000012,0.347519003912056
"3553...2788","calibration","carbon",7.4000001,6.97550758556199
"5869...2789","calibration","carbon",0.5,0.543345601847919
"6976...2790","calibration","carbon",0.589999974,0.8510024849976
"5944...2791","calibration","carbon",6,5.75931288409897
"4649...2792","calibration","carbon",0.200000003,0.257014525324796
"4636...2793","calibration","carbon",4.69999981,5.74809278088655
"5544...2794","calibration","carbon",1.79999995,1.5044716453524
"5665...2795","calibration","carbon",0.899999976,0.822056944639036
"6267...2796","calibration","carbon",0.200000003,0.36486495987581
"6494...2797","calibration","carbon",0.600000024,0.544516835436999
"3204","calibration","carbon",0.712565086097746,0.708103862475841
"6635...2799","calibration","carbon",0.400000006,0.465353447316143
"5431...2800","calibration","carbon",0.400000006,0.394718740420375
"3434...2801","calibration","carbon",0.400000006,0.468087834246985
"3103","calibration","carbon",0.834511763575204,0.747621143331248
"4296...2803","calibration","carbon",6.69999981,3.85316692487242
"5156...2804","calibration","carbon",0.200000003,0.346198584125654
"6632...2805","calibration","carbon",2,1.87215920737043
"5010...2806","calibration","carbon",0.300000012,0.305028884696038
"4089...2807","calibration","carbon",0.200000003,0.55754858953537
