,lower,upper,pred,obs,type,variable
1822,41.34304,83.506355,62.424698,63.0, Calibration,P retention
1823,16.908848,33.79668,25.352764,29.0, Calibration,P retention
1824,44.948906,89.94163,67.44527,90.0, Calibration,P retention
1825,26.226551,53.71185,39.9692,36.0, Calibration,P retention
1826,2.9081879,6.859823,4.8840055,5.0, Calibration,P retention
1827,23.61488,46.251225,34.933052,33.0, Calibration,P retention
1828,16.000412,32.04304,24.021727,25.0, Calibration,P retention
1829,7.6999664,17.463614,12.58179,13.0, Calibration,P retention
1830,29.57473,59.03897,44.30685,42.0, Calibration,P retention
1831,44.63004,90.303986,67.46701,77.0, Calibration,P retention
1832,18.69349,37.52532,28.109404,24.0, Calibration,P retention
1833,0.5334692,1.9354706,0.7010007,3.0, Calibration,P retention
1834,11.332329,22.81361,17.07297,17.0, Calibration,P retention
1835,7.6829853,15.357199,11.520092,10.0, Calibration,P retention
1836,13.441617,26.785984,20.1138,17.0, Calibration,P retention
1837,10.267162,22.899483,16.583323,11.0, Calibration,P retention
1838,30.269363,59.736153,45.002758,41.0, Calibration,P retention
1839,37.63681,76.12842,56.882614,60.0, Calibration,P retention
1840,39.21312,79.51923,59.366177,71.0, Calibration,P retention
1841,15.57889,30.808836,23.193863,24.0, Calibration,P retention
1842,25.236027,49.008648,37.122337,37.0, Calibration,P retention
1843,43.71077,86.584946,65.14786,65.0, Calibration,P retention
1844,18.352169,37.126152,27.73916,29.0, Calibration,P retention
1845,18.505806,36.94147,27.723639,13.0, Calibration,P retention
1846,14.197647,28.113068,21.155357,27.0, Calibration,P retention
1847,32.865112,64.71675,48.79093,57.0, Calibration,P retention
1848,18.924103,38.02204,28.473072,28.0, Calibration,P retention
1849,32.158928,63.458054,47.80849,48.0, Calibration,P retention
1850,23.311232,47.015137,35.163185,33.0, Calibration,P retention
1851,22.413578,44.699574,33.556576,31.0, Calibration,P retention
1852,38.255333,76.33914,57.297237,57.0, Calibration,P retention
1853,10.248234,20.261024,15.254629,10.0, Calibration,P retention
1854,11.909324,23.633514,17.77142,15.0, Calibration,P retention
