,upper,lower,pred,obs,type,variable
19502,2.680685016,0.168924121,1.4248046,1.5, Calibration,carbon
19504,4.844505682,0.296393976,2.5704498,2.64, Calibration,carbon
19506,6.077245188,0.224333333,3.1507893,3.24, Calibration,carbon
19508,14.29673484,0.531745938,6.8824944,8.29, Calibration,carbon
19510,10.61741888,0.339433309,5.138993,5.0224905, Calibration,carbon
19512,8.520918773,0.003755497,4.2585816,4.1895027, Calibration,carbon
19514,5.237811195,0.279013527,2.7584124,2.9, Calibration,carbon
19516,2.35496618,0.20861481,1.2817905,1.2, Calibration,carbon
19518,1.433825146,0.117296327,0.77556074,1.16, Calibration,carbon
19520,15.81681845,0.673140739,7.571839,8.7, Calibration,carbon
19522,1.948147015,0.165048881,1.056598,1.1, Calibration,carbon
19524,3.866981255,0.124768985,1.9958751,2.2, Calibration,carbon
19526,4.615980882,0.323655825,2.4698184,2.66, Calibration,carbon
19528,1.433825146,0.117296327,0.77556074,0.58686346, Calibration,carbon
19530,2.44935615,0.183678795,1.3165175,1.5, Calibration,carbon
19532,3.529262853,0.143637347,1.8364501,2.1, Calibration,carbon
19534,4.409274629,0.216387698,2.3128312,2.8, Calibration,carbon
19536,2.032934972,0.213800362,1.1233677,1.2, Calibration,carbon
19538,1.433825146,0.117296327,0.77556074,0.6205738, Calibration,carbon
19540,14.48611992,0.544287376,6.9709163,7.15, Calibration,carbon
19542,4.099308973,0.18591308,2.142611,2, Calibration,carbon
19544,4.43671605,0.050690144,2.193013,2, Calibration,carbon
19546,1.453164767,0.13384967,0.7935072,0.7357436, Calibration,carbon
19548,22.08867226,1.298135384,10.395268,11, Calibration,carbon
19550,1.433825146,0.117296327,0.77556074,0.5625711, Calibration,carbon
19552,7.183980471,0.11417771,3.5349014,3.7, Calibration,carbon
19554,4.573945817,0.27181739,2.4228816,2.71, Calibration,carbon
19556,14.58190765,0.556387326,7.01276,7.66, Calibration,carbon
19558,8.988887962,0.152481255,4.4182034,4.84, Calibration,carbon
19560,5.066729785,0.208188295,2.637459,2.78, Calibration,carbon
19562,1.687605199,0.190785471,0.93919533,1.8, Calibration,carbon
