,lower,upper,pred,obs,type,variable
188,84.331985,98.09011840820312,91.21105194091797,90.0, Calibration,P retention
189,5.624199,20.283124923706055,12.953661918640137,11.0, Calibration,P retention
190,85.30165,99.5,92.92334747314453,90.0, Calibration,P retention
191,38.133965,48.16089630126953,43.147430419921875,45.0, Calibration,P retention
192,62.856148,77.12117767333984,69.98866271972656,68.0, Calibration,P retention
193,20.514189,35.08971405029297,27.801952362060547,29.0, Calibration,P retention
194,61.64227,79.31069946289062,70.47648620605469,74.0, Calibration,P retention
195,13.785053,34.431095123291016,24.108074188232422,22.0, Calibration,P retention
196,62.46059,81.64079284667969,72.05068969726562,68.0, Calibration,P retention
197,91.811966,99.5,96.56159210205078,96.0, Calibration,P retention
198,2.078249,14.074518203735352,8.076383590698242,7.0, Calibration,P retention
199,14.934027,30.66914176940918,22.801584243774414,23.0, Calibration,P retention
200,35.940235,48.54385757446289,42.24204635620117,42.0, Calibration,P retention
201,65.33392,81.55400085449219,73.44396209716797,73.0, Calibration,P retention
202,59.0508,71.54780578613281,65.29930114746094,65.0, Calibration,P retention
203,1.6745682,14.84077262878418,8.257670402526855,13.0, Calibration,P retention
204,46.226997,57.75365447998047,51.990325927734375,54.0, Calibration,P retention
205,78.42397,96.18206024169922,87.30301666259766,87.0, Calibration,P retention
206,33.05432,47.493751525878906,40.2740364074707,31.0, Calibration,P retention
207,2.237999,15.842660903930664,9.040329933166504,4.0, Calibration,P retention
208,71.79537,92.46186065673828,82.12861633300781,88.0, Calibration,P retention
209,47.305233,57.96866226196289,52.63694763183594,51.0, Calibration,P retention
210,62.353786,78.6402587890625,70.49702453613281,71.0, Calibration,P retention
211,0.65364695,13.270910263061523,6.962278366088867,2.0, Calibration,P retention
212,6.1352463,20.136064529418945,13.135655403137207,11.0, Calibration,P retention
213,41.075882,49.73811340332031,45.40699768066406,51.0, Calibration,P retention
214,22.328993,35.6536979675293,28.991344451904297,26.0, Calibration,P retention
215,11.383091,24.987316131591797,18.185203552246094,19.373737, Calibration,P retention
216,63.485947,84.89027404785156,74.1881103515625,77.0, Calibration,P retention
217,1.1970673,11.642803192138672,6.41993522644043,4.0, Calibration,P retention
218,85.804214,99.5,93.12651062011719,94.0, Calibration,P retention
219,44.107903,51.046836853027344,47.577369689941406,47.0, Calibration,P retention
220,22.231482,35.946678161621094,29.089078903198242,24.0, Calibration,P retention
221,12.326059,27.304033279418945,19.815046310424805,18.0, Calibration,P retention
222,27.353628,38.336212158203125,32.84492111206055,29.0, Calibration,P retention
223,81.06859,97.27737426757812,89.17298126220703,92.0, Calibration,P retention
224,23.26456,36.856834411621094,30.060697555541992,24.0, Calibration,P retention
225,11.935458,24.325103759765625,18.130281448364258,16.0, Calibration,P retention
226,31.119492,42.91542053222656,37.0174560546875,31.0, Calibration,P retention
227,34.989323,46.8747673034668,40.932044982910156,38.0, Calibration,P retention
228,17.055805,31.234638214111328,24.145221710205078,24.0, Calibration,P retention
229,15.899698,30.78743553161621,23.34356689453125,19.0, Calibration,P retention
230,28.088825,39.936038970947266,34.01243209838867,34.0, Calibration,P retention
231,56.822647,75.33218383789062,66.0774154663086,67.0, Calibration,P retention
232,15.729954,30.68213653564453,23.206045150756836,15.0, Calibration,P retention
233,78.82529,95.43183898925781,87.1285629272461,87.0, Calibration,P retention
234,56.304794,69.3644027709961,62.834598541259766,64.0, Calibration,P retention
235,51.826923,67.423583984375,59.6252555847168,54.0, Calibration,P retention
236,9.44522,23.94720458984375,16.696212768554688,18.0, Calibration,P retention
237,30.34302,42.64321517944336,36.49311828613281,36.0, Calibration,P retention
238,14.769564,31.43028450012207,23.099924087524414,24.0, Calibration,P retention
239,1.4134934,7.278874397277832,2.932690382003784,0.01, Calibration,P retention
240,67.069595,83.88786315917969,75.47872924804688,76.0, Calibration,P retention
241,15.99312,28.986692428588867,22.489906311035156,20.0, Calibration,P retention
242,2.8690705,15.814062118530273,9.34156608581543,10.0, Calibration,P retention
243,32.81326,43.69846725463867,38.255863189697266,42.0, Calibration,P retention
244,45.891365,59.361900329589844,52.62663269042969,50.0, Calibration,P retention
245,47.02937,58.616512298583984,52.822940826416016,55.0, Calibration,P retention
246,32.580124,43.20550537109375,37.89281463623047,35.0, Calibration,P retention
247,4.7730002,19.183547973632812,11.97827434539795,14.0, Calibration,P retention
248,21.270695,36.251731872558594,28.761213302612305,22.0, Calibration,P retention
249,35.340866,44.916481018066406,40.1286735534668,38.0, Calibration,P retention
250,12.92545,28.842578887939453,20.884014129638672,19.0, Calibration,P retention
251,15.652796,32.5386962890625,24.095746994018555,23.862263, Calibration,P retention
252,6.582712,24.39539337158203,15.489052772521973,16.0, Calibration,P retention
253,13.318497,27.00833511352539,20.163415908813477,18.0, Calibration,P retention
254,22.245844,35.523128509521484,28.88448715209961,28.0, Calibration,P retention
255,35.574783,44.631134033203125,40.10295867919922,37.0, Calibration,P retention
256,46.47781,57.60426712036133,52.041038513183594,55.0, Calibration,P retention
257,25.447128,36.719764709472656,31.083446502685547,34.0, Calibration,P retention
258,12.541176,28.49146270751953,20.516319274902344,21.0, Calibration,P retention
259,7.2528253,20.829927444458008,14.041376113891602,13.0, Calibration,P retention
260,15.339094,34.74073791503906,25.039915084838867,24.0, Calibration,P retention
261,21.28878,34.80432891845703,28.046554565429688,25.0, Calibration,P retention
262,29.960201,43.82083511352539,36.89051818847656,36.0, Calibration,P retention
263,68.64153,88.03601837158203,78.33877563476562,74.0, Calibration,P retention
264,65.68874,82.90979766845703,74.29927062988281,74.0, Calibration,P retention
265,49.58625,65.55916595458984,57.57270812988281,54.0, Calibration,P retention
266,14.536844,28.778409957885742,21.65762710571289,18.0, Calibration,P retention
267,83.359,99.5,91.93643188476562,98.0, Calibration,P retention
268,24.722885,38.78560256958008,31.754243850708008,30.0, Calibration,P retention
269,17.489567,31.204296112060547,24.34693145751953,22.0, Calibration,P retention
270,22.56871,35.091983795166016,28.830347061157227,25.0, Calibration,P retention
271,61.352364,76.90123748779297,69.12680053710938,71.0, Calibration,P retention
272,60.542313,75.86213684082031,68.20222473144531,65.0, Calibration,P retention
273,31.339102,42.80744171142578,37.073272705078125,35.0, Calibration,P retention
274,4.5242486,18.198410034179688,11.361329078674316,7.0, Calibration,P retention
275,26.939198,37.43795394897461,32.188575744628906,33.0, Calibration,P retention
276,23.139187,37.052921295166016,30.096054077148438,25.0, Calibration,P retention
277,77.56615,97.43035888671875,87.49825286865234,92.0, Calibration,P retention
278,43.70265,52.68855667114258,48.19560241699219,46.0, Calibration,P retention
279,1.8191128,14.074651718139648,7.946882247924805,7.0, Calibration,P retention
280,11.740059,30.50061798095703,21.120338439941406,14.0, Calibration,P retention
