"","type","variable","obs","pred","lower","upper"
"21858","Calibration","P retention",33,33.4588801074383,31.1416694864325,35.897607606326
"21859","Calibration","P retention",12,11.1126899165279,7.84756212948918,13.4316182366539
"21860","Calibration","P retention",79,72.1672183114015,71.1580539179422,73.939484494284
"21861","Calibration","P retention",7,19.4411614629067,17.5868396109248,21.264542640732
"21862","Calibration","P retention",37,41.241102055125,38.3248332689126,42.8667268031866
"21863","Calibration","P retention",28,26.9571704608886,26.080272728298,29.0206879173078
"21864","Calibration","P retention",91,93.0584336006605,92.0502733868152,95.7345267057825
"21865","Calibration","P retention",52,52.7589084328662,50.4519600632399,56.1219310320247
"21866","Calibration","P retention",58,56.8766869991659,54.3344637100083,60.1728758229471
"21867","Calibration","P retention",24,30.4410281031457,27.9157049659986,32.2329136088342
"21868","Calibration","P retention",23,24.6009063413504,22.1127065770006,27.5478402519369
"21869","Calibration","P retention",6,2.49656722064809,-0.0411239164790744,3.86984175433114
"21870","Calibration","P retention",37,39.0762801103824,36.4606184670267,40.9545538549246
"21871","Calibration","P retention",38,40.1548667544833,37.591606075381,41.5983340790912
"21872","Calibration","P retention",99,109.026678943072,106.533499495932,112.616134022142
"21873","Calibration","P retention",98,103.323695483298,100.821069387594,105.339005742442
"21874","Calibration","P retention",31,57.0084814047594,54.6747803743077,62.019883332803
"21875","Calibration","P retention",55,60.2250088923008,57.5842163937052,61.2863301139166
"21876","Calibration","P retention",41,49.8202192885177,45.3037723478341,53.3000628673191
"21877","Calibration","P retention",65,66.8702923068152,65.0068255936696,67.9768265413177
"21878","Calibration","P retention",6,10.0045854084692,7.73332728168944,12.6440632821313
"21879","Calibration","P retention",51,58.6375794262724,56.5999456283059,61.4944849482664
"21880","Calibration","P retention",29,41.8565473441311,37.4291913290623,45.8484489250708
"21881","Calibration","P retention",6,3.63196783281292,1.30752997982327,6.55844110678499
"21882","Calibration","P retention",26,32.1005516255967,29.2038357704237,34.8602952670789
"21883","Calibration","P retention",71,67.6139753563972,65.6402628946547,75.4364107181714
"21884","Calibration","P retention",11,9.63302386035575,5.72353947665197,11.8394984286163
"21885","Calibration","P retention",41,44.737049176715,42.9280883493897,47.5181260412805
"21886","Calibration","P retention",68,61.8074426100231,57.6504530499007,64.7139162282661
"21887","Calibration","P retention",69,49.5548738469131,47.4385231201034,53.7872047688984
"21888","Calibration","P retention",95,98.1553801978653,96.4783697870913,99.8248511129285
"21889","Calibration","P retention",46,48.3711763195979,47.334209156613,53.1471481624483
"21890","Calibration","P retention",43,34.6994632510833,32.8273077325623,36.3258947032067
"21891","Calibration","P retention",82,87.0680782572778,83.9996516978421,89.438811191037
"21892","Calibration","P retention",60,55.5030613334089,51.6683866055196,57.5810416711554
"21893","Calibration","P retention",23,38.8871962762974,33.7789783099493,42.5259233202603
"21894","Calibration","P retention",73,72.7376087334485,69.6884506529694,77.1469625161694
"21895","Calibration","P retention",22,18.7079289172241,15.3474853340989,20.3765617270824
"21896","Calibration","P retention",43,55.216128062449,52.220210830202,59.6749687973109
"21897","Calibration","P retention",42,39.7974577288199,37.3818368666208,42.4450186024109
"21898","Calibration","P retention",21,24.0411868863633,20.2826043794409,25.5584473508337
"21899","Calibration","P retention",33,34.5987224388054,31.3839105827921,35.4994918664291
"21900","Calibration","P retention",19,25.1726121925727,24.3598000803482,27.7553817895013
"21901","Calibration","P retention",11,11.47312907244,8.75166478386576,13.6394482760999
"21902","Calibration","P retention",11,10.0080696378611,8.92656205447448,12.9462846247781
"21903","Calibration","P retention",83,59.6125668601673,56.4270080051241,61.4845850450628
"21904","Calibration","P retention",39,36.7261300907434,33.5107063376955,39.7267559948767
"21905","Calibration","P retention",51,52.9848384077356,49.9632234355344,56.0270165372669
"21906","Calibration","P retention",16,17.7913426155816,14.8964140694576,19.3748049848478
"21907","Calibration","P retention",54,58.6478173502346,54.6258612757319,62.4104792216699
"21908","Calibration","P retention",14,14.437698901844,10.1186334915773,15.5141451447882
"21909","Calibration","P retention",42,43.6786665151738,41.8286361872639,46.034238486086
"21910","Calibration","P retention",41,39.965658212355,38.9063188886974,41.6987669090059
"21911","Calibration","P retention",33,34.9424097968696,33.4986891998707,37.0134623368843
"21912","Calibration","P retention",86,70.1118111814162,69.5193190704553,70.8985702836222
"21913","Calibration","P retention",47,49.1715898990723,47.1941896652639,52.2871028193464
"21914","Calibration","P retention",42,40.3989179929441,36.7953402848336,43.5872632131064
"21915","Calibration","P retention",0.01,19.9308025917235,11.2115253628379,29.1236773219754
"21916","Calibration","P retention",22,33.0194559667569,31.6280379707364,34.3396457137271
"21917","Calibration","P retention",91,94.0311638631325,90.9731988375431,96.0940286789509
"21918","Calibration","P retention",12,10.1998007859232,9.06914143987406,11.0034159278248
"21919","Calibration","P retention",54,58.7466932952827,54.9283298204951,62.3595240114609
"21920","Calibration","P retention",59,55.4407689855455,53.9988083598207,56.8633464979305
"21921","Calibration","P retention",13,19.3012050334286,18.3543507876524,21.8685321340095
"21922","Calibration","P retention",68,66.6974013411416,64.3469864410455,70.8465893691936
"21923","Calibration","P retention",72,72.1624502107863,69.8204333127644,74.7959053287785
"21924","Calibration","P retention",58,53.7522488797544,51.6216339239569,55.9697213680409
"21925","Calibration","P retention",22,15.612623205098,14.1967888372854,15.9401775435596
"21926","Calibration","P retention",42,40.7920937085262,39.6577139589473,43.3664306602747
"21927","Calibration","P retention",78,76.336782750086,73.0368699827955,78.3569915298903
"21928","Calibration","P retention",76,71.9159265340866,68.2030572315369,75.8676893662096
"21929","Calibration","P retention",79,68.4645278547065,66.6964428021367,70.896557024911
"21930","Calibration","P retention",98,111.039479833462,107.459989034797,113.991269197235
"21931","Calibration","P retention",57,59.8222069732807,55.1556061636735,65.0485396745203
"21932","Calibration","P retention",33,31.8138969823009,31.0844150499011,33.4620848093896
"21933","Calibration","P retention",66,68.602669208166,66.2215586047644,70.6548643841514
"21934","Calibration","P retention",7,8.27790827965335,5.61239022713981,9.31556403665167
"21935","Calibration","P retention",9,4.66497785239581,2.7966271849331,7.69577024006933
"21936","Calibration","P retention",45,57.1883938966218,53.9508171165563,59.8819971525953
"21937","Calibration","P retention",70,74.2319211532115,70.2208857216335,81.0835321578328
"21938","Calibration","P retention",63,64.983279116404,62.8464028364958,66.1328996893283
"21939","Calibration","P retention",24,15.9229386566285,14.4400951983532,17.01336132153
"21940","Calibration","P retention",48,63.4831658534449,57.3028267745851,66.6052196900855
"21941","Calibration","P retention",83,72.1119532388108,68.4841206460176,75.5013048040448
"21942","Calibration","P retention",16,20.6711882944676,19.3626630462371,21.7069195302375
"21943","Calibration","P retention",5,-3.94706212453384,-7.97535701044375,7.29301852447086
"21944","Calibration","P retention",83,49.4481881347821,44.9015857124238,52.9183428668969
"21945","Calibration","P retention",42,38.1835300914728,35.9955694647551,39.6035819580515
"21946","Calibration","P retention",56,55.414120906034,51.4806177572265,58.1214900638226
"21947","Calibration","P retention",41,14.8385303132235,11.4777137030645,20.1118758278273
"21948","Calibration","P retention",21,22.9784702145503,20.6899084244603,25.0638625730228
"21949","Calibration","P retention",14,13.8826279889474,8.77455653338084,20.3010733962583
"21950","Calibration","P retention",86,80.7286684918577,78.4693299887789,84.1898928102422
"21951","Calibration","P retention",99,-7.32402099598878,-17.5957520374315,18.267455019881
"21952","Calibration","P retention",83,87.1252197285411,84.2397861710247,89.4423399290849
"21953","Calibration","P retention",37,52.2808222536839,47.8798582026187,54.4724822048328
"21954","Calibration","P retention",57,48.7860002475101,47.6723417293712,50.3652186946125
"21955","Calibration","P retention",58,62.982802796567,61.7220708352622,64.3393313580451
"21956","Calibration","P retention",0.01,9.61663815983757,2.86319089498865,16.2352144452677
"21957","Calibration","P retention",81,75.8812568518195,73.1914242043601,77.1719864682874
"21958","Calibration","P retention",43,42.335796176602,38.2043058647146,44.7364765033703
"21959","Calibration","P retention",90,93.982529697505,92.1719628979854,97.0219340075833
"21960","Calibration","P retention",70,69.1143810318653,66.6093711719172,72.8118536884668
"21961","Calibration","P retention",14,33.7664922021445,31.7826693643451,36.9428933458
"21962","Calibration","P retention",45,50.446854820242,47.2458896261712,56.1981412521535
"21963","Calibration","P retention",99,90.1490932543297,85.3209252808504,93.9058920498261
"21964","Calibration","P retention",62,55.5377363530184,53.9856374463611,57.7188350735137
"21965","Calibration","P retention",0.01,0.864401470966527,-3.15300239678756,4.41850667198695
"21966","Calibration","P retention",40,36.7452650581467,34.4063013100935,41.8289126516121
